Date,Price,Open,High,Low,Vol,Change
45123,30.235,30.291,30.435,30.75,20.31,-0.18%
45122,30.291,30.316,30.395,30.246,17.6,-0.09%
45121,30.317,31.465,31.602,29.944,82.42,-3.65%
45120,31.466,30.387,31.764,30.260,99.81,3.55%
45119,30.387,30.623,30.951,30.231,54.6,-0.77%
45118,30.623,30.414,30.782,30.333,39.84,0.68%
45117,30.415,30.166,31.19,29.969,55.24,0.82%
45116,30.166,30.288,30.425,30.71,20.5,-0.40%
45115,30.288,30.346,30.379,30.55,17.41,-0.19%
45114,30.346,29.912,30.442,29.757,46.42,1.45%
45113,29.913,30.512,31.463,29.869,90.81,-1.97%
45112,30.512,30.768,30.875,30.233,43.23,-0.83%
45111,30.768,31.152,31.326,30.657,42.12,-1.23%
45110,31.151,30.617,31.377,30.581,56.49,1.74%
45109,30.617,30.587,30.769,30.227,28.82,0.10%
45108,30.586,30.472,30.649,30.329,22.46,0.37%
45107,30.472,30.445,31.275,29.714,118.65,0.09%
45106,30.445,30.77,30.823,30.51,49.57,1.22%
45105,30.78,30.691,30.703,29.919,51.6,-1.99%
45104,30.689,30.267,30.993,30.231,55.82,1.39%
45103,30.267,30.466,30.645,29.986,58.71,-0.65%
45102,30.465,30.533,31.40,30.315,37.12,-0.22%
45101,30.533,30.680,30.795,30.269,38.15,-0.48%
45100,30.679,29.890,31.395,29.822,98.85,2.64%
45099,29.890,29.992,30.497,29.590,79.22,-0.35%
45098,29.996,28.307,30.769,28.270,143.49,5.97%
45097,28.307,26.845,28.393,26.665,100.55,5.44%
45096,26.845,26.339,27.29,26.295,46.45,1.92%
45095,26.339,26.515,26.679,26.290,27.31,-0.66%
45094,26.515,26.341,26.767,26.183,35.86,0.66%
45093,26.341,25.591,26.472,25.276,69.24,2.93%
45092,25.591,25.129,25.732,24.838,68.38,1.84%
45091,25.129,25.929,26.51,24.847,60.82,-3.08%
45090,25.929,25.906,26.428,25.726,56.24,0.09%
45089,25.906,25.927,26.80,25.635,40.75,-0.08%
45088,25.928,25.843,26.190,25.660,39.20,0.33%
45087,25.844,26.479,26.525,25.468,83.57,-2.40%
45086,26.479,26.501,26.773,26.326,38.96,-0.08%
45085,26.501,26.341,26.784,26.231,39.95,0.60%
45084,26.342,27.230,27.342,26.141,77.48,-3.26%
45083,27.230,25.745,27.325,25.425,88.61,5.76%
45082,25.747,27.122,27.125,25.437,85.42,-5.07%
45081,27.122,27.70,27.410,26.956,23.81,0.19%
45080,27.72,27.246,27.317,26.931,20.62,-0.63%
45079,27.244,26.819,27.299,26.541,49.37,1.59%
45078,26.819,27.216,27.340,26.662,51.98,-1.46%
45077,27.216,27.696,27.825,26.865,63.8,-1.74%
45076,27.698,27.738,28.33,27.583,45.19,-0.15%
45075,27.739,28.68,28.431,27.548,54.56,-1.18%
45074,28.71,26.855,28.181,26.788,55.23,4.52%
45073,26.857,26.711,26.882,26.591,18.68,0.55%
45072,26.711,26.475,26.911,26.330,45.88,0.89%
45071,26.475,26.327,26.589,25.892,50.17,0.56%
45070,26.328,27.220,27.220,26.88,72.65,-3.28%
45069,27.220,26.851,27.448,26.804,50.89,1.39%
45068,26.847,26.749,27.48,26.546,35.56,0.36%
45067,26.749,27.116,27.257,26.677,27.42,-1.35%
45066,27.116,26.883,27.147,26.831,17.72,0.87%
45065,26.882,26.828,27.154,26.711,36.67,0.20%
45064,26.828,27.403,27.467,26.449,63.39,-2.10%
45063,27.403,27.35,27.465,26.597,58.14,1.36%
45062,27.35,27.183,27.295,26.881,45.29,-0.55%
45061,27.183,26.920,27.651,26.752,53.27,0.98%
45060,26.920,26.777,27.176,26.609,26.35,0.53%
45059,26.777,26.798,27.11,26.695,27.95,-0.08%
45058,26.799,26.983,27.44,25.853,87.49,-0.68%
45057,26.983,27.604,27.607,26.766,62.85,-2.25%
45056,27.603,27.634,28.311,26.885,91.45,-0.11%
45055,27.634,27.670,27.816,27.366,49.75,-0.13%
45054,27.670,28.424,28.627,27.280,85.72,-2.65%
45053,28.424,28.857,29.122,28.419,36.50,-1.50%
45052,28.857,29.512,29.816,28.414,58.94,-2.22%
45051,29.513,28.842,29.653,28.825,74.52,2.33%
45050,28.842,29.23,29.352,28.687,53.80,-0.63%
45049,29.23,28.669,29.244,28.164,81.22,1.24%
