Date;Price;Open;High;Low;Vol;Change
44967;216350;217925;219336;214917;352.79;-0.72%
44966;217925;229646;230036;217446;425.44;-5.10%
44965;229646;232517;234251;226917;289.12;-1.23%
44964;232517;227618;233388;227482;318.98;2.15%
44963;227618;229360;231306;226337;278.58;-0.76%
44962;229360;233269;234234;227665;217.26;-1.66%
44961;233238;234312;235718;232698;170.27;-0.46%
44960;234312;234291;236941;232338;349.36;0.02%
44959;234276;237262;242072;233981;382.86;-1.26%
44958;237256;231247;237845;228096;333.18;2.60%
44957;231251;228322;232629;227249;289.38;1.28%
44956;228322;237460;237940;225600;339.62;-3.88%
44955;237531;230235;239529;229733;320.86;3.15%
44954;230279;230746;231823;228898;156.96;-0.20%
44953;230746;230160;234803;226029;310.36;0.25%
44952;230160;230552;232595;228690;320.97;-0.17%
44951;230551;226325;237790;223663;388.18;1.87%
44950;226325;229163;231561;225171;334.17;-1.23%
44949;229155;227090;231618;225279;327.85;0.91%
44948;227078;227757;230687;223230;280.64;-0.30%
44947;227757;226775;233045;224611;382.69;0.43%
44946;226772;210749;227185;208793;373.74;7.57%
44945;210812;206706;211694;206697;275.76;1.99%
44944;206706;211371;215841;204483;388.67;-2.21%
44943;211371;211844;215064;209262;310.04;-0.22%
44942;211842;208801;214168;206989;337.46;1.46%
44941;208798;209560;210322;205857;205.80;-0.37%
44940;209582;199269;211856;198986;458.21;5.17%
